identifier,Reconciled names,"Name (Last, First)",image,BG's Nickname or Reference,Life Dates,Biographical Description
00380,"Russell, Alys (Smith)","Russell, Alys (Smith)",,,1867-1951,"Sister of Mary Berenson, Quaker organizer, and first wife of Bertrand Russell (1894-1921)"
00381,Bertrand Russell,"Russell, Bertrand",Bertrand Russell photo.jpg,,1872-1970,"Celebrated British philosopher and intellectual"
00382,Caroline Ruutz-Rees,"Ruutz-Rees, Caroline",Caroline-Ruutz-Rees 1890.jpg,,1865-1954,"Headmistress from 1890 to 1938 of Rosemary Hall school for girls in Greenwich, Connecticut"
00383,"Ryan, John Barry","Ryan, John Barry",,,1874-1942,"Son of Thomas Fortune Ryan and financier and writer"
00384,Thomas Fortune Ryan,"Ryan, Thomas Fortune",Thomas Fortune Ryan by Joaquin Sorolla y Bastida.jpg,Tommy,1851-1928,"New York financier and art collector; important donor of Rodin sculptures to the Metropolitan Museum of Art"
00385,Paul Joseph Sachs,"Sachs, Paul J.",,,1878-1965,"American financier and banker at Goldman Sachs, art collector, art historian, and Associate Director of the Harvard University's Fogg Museum"
00386,George Salting,"Salting, George",George Salting.jpg,,1835-1909,"British collector primarily of ceramics whose collection was on long term loan at the Victoria and Albert Museum"
00387,Arthur Sambon,"Sambon, Arthur",,,1867-1947,"Parisian art dealer and collector"
00388,Gertrude Alison Sheldon,"Sands, Gertrude Sheldon",Gertrude Sheldon LCCN2014683531.jpg,,1888-1969,"American philanthropist and wife of Samuel Stevens Sands III; later married Richard Whitney"
00389,Samuel Stevens Sands III,"Sands, Samuel Stevens (III)",,,1884-1913,"American bon vivant and husband of Gertrude Sheldon"
00390,"Sassoon, Lady","Sassoon, Lady",,,1867-1909,"Alice Caroline de Rothschild: French socialite"
00391,Herbert Livingston Satterlee,"Satterlee, Herbert Livingston",Herbert Livingston Satterlee circa 1900.jpg,,1863-1947,"American lawyer, writer, and businessman; former Assistant Secretary of the Treasury and then the Assistant Secretary of the Navy; married Louisa Pierpont Morgan in 1900"
00392,Jacob Schiff,"Schiff, Jacob",JacobSchiff.jpg,,1847-1920,"American banker, businessman, and philanthropist who served on the board for many New York and American museums with a focus on Jewish studies and charities"
00393,"Scott, Geoffrey","Scott, Geoffrey",,,1884-1929,"English writer and architectural historian close with Mary and Bernard Berenson"
00394,"Seligmann, Arnold","Seligmann, Arnold",,,1870-1932,"Brother of Jacques Seligmann; joined Galerie Seligmann in Paris in 1900 and following family feud in 1912, established Arnold Seligmann & Cie. in Place Vendome; went on to form Arnold Seligmann, Rey & Co. in New York in 1921 and a branch in Berlin in 1932"
00395,Jacques Seligmann,"Seligmann, Jacques",Sorolla y Bastida Jacques Seligmann 1911.jpg,J. S.; Selmann?,1858-1923,"French art collector, dealer and gallery owner"
00396,Hortense Serristori,"Serristori, Hortense",,Madame La Serristori,1871-1960,"Italian writer and Countess"
00397,Thomas Joseph Shahan,"Shahan, Thomas Joseph",Founder's Chapel (Washington Basilica) 02.JPG,,1857-1932,"American theologian and President of of Catholic University"
,,,Thomas Joseph Shahan (1857–1932).png,,,
00398,"Sherman, Frederic Fairchild","Sherman, Frederic Fairchild",,,1874-1940,"Founder and editor-in-chief of Art in America magazine 1917-1940"
00399,Everett Shinn,"Shinn, Everett",Shinn self portrait 1901.jpg,,1876-1953,"Founder and editor-in-chief of Art in America magazine 1917-1940"
00400,Vladimir G. Simkhovitch,"Simkhovitch, Vladimir",Vladimir Simkhovitch.jpg,,1874-1959,"Russian art collector and Professor of Economic History and Economics at Columbia University"
00401,Osvald Sirén,"Sirén, Osvald","Portrait of Osvald Sirén.tif",,1879-1966,"Swedish art historian whose scholarship focused on Italian Renaissance and Chinese art"
00402,"Sitwell, George R.","Sitwell, George R.",,,1860-1943,"English politician, antiquarian, and art collector"
00403,"Sloane, Mary Espy Johnstone","Sloane, Mary Espy Johnstone",,,1850-1930,"Wife of William Milligan Sloane"
00404,"Sloane, William Milligan","Sloane, William Milligan",,,1850-1928,"American historian and professor first at Princeton and then Columbia, as the Seth Low Professor of History"
00405,Hannah Whitall Smith,"Smith, Hannah Whitall",Hannah Whitall Smith.jpg,,1832-1911,"American Quaker activist involved in women's suffrage and Temperance movements. Also Mary Berenson's mother"
00406,"Smith, Charles Robinson","Smith, Charles Robinson",,,1855–1930,"American lawyer"
00407,Edward Hugh Sothern,"Sothern, E.H.",EH Sothern.png,,1859-1933,"American actor who performed at the premiere performances of the New Theatre"
00408,Sousas,Sousas,,,,
00409,Edward Steichen,"Steichen, Edward",Edward Steichen.jpg,,1879-1973,"Photographer who with Alfred Stieglitz founded the Photo-Secession, established gallery 291, and started Camera Work; photographed JPM in 1903"
00410,Aurel Stein,"Stein, Aurel",Aurel Stein 1909.jpg,,1862-1943,"Hungarian-born British archaeologist, primarily known for his explorations and archaeological discoveries in Central Asia"
00411,"Stein, Leo","Stein, Leo",,,1872-1947,"American art collector and brother of Gertrude Stein"
00412,Karin Stephen,"Stephen, Karin",Adrian Karin 1914.jpg,,1889-1953,"Daughter of Mary Berenson and Frank Costelloe (born Catherine Elizabeth Costelloe); wife of Adrian Stephen (brother of Virginia Woolf and Vanessa Bell); psychologist and psychoanalyst"
00413,Alfred Stieglitz,"Stieglitz, Alfred",Stieglitz 1907c autochrome self-portrait.jpg,,1864-1946,"American photographer and pubisher of Camera Work; collaborator with Edward Steichen and Clarence White"
00414,"Stockton, Kate","Stockton, Kate",,,,"BG friend from Princeton who became sister at convent of Saint John the Baptist in New Jersey"
00415,Eugenie Sellers Strong,"Strong, Eugénie Sellers",Eugenie Sellers Strong.jpg,,1860-1943,"Librarian to the Eighth Duke of Devonshire (1904-1909), a position she began following the death of the previous Librarian, her husband, Sandford Alfred Strong; later Assistant Director of the British School at Rome"
00416,Frank K. Sturgis,"Sturgis, Frank K.",Frank K. Sturgis.jpg,,1863-1947,"American banker who served as president of the New York Stock Exchange and joined many of New York's social clubs, such as The Union Club, the New York Yacht Club, and the Metropolitan Club"
00417,Marguerite Sylva,"Sylva, Marguerite",Marguerita Sylva As Carmen Opera Comique.jpg,Maggie Smith,1875-1957,"Belgian-born mezzo-soprano opera singer"
00418,"Teall, Gardner","Teall, Gardner",,,1876-1956,"American author, artist, editor, and collector; author of ""The Pleasure of Collectin"" and ""A Little Garden the Year 'Round"""
00419,Ellen Terry,"Terry, Ellen","Julia Margaret Cameron (British, born India - Ellen Terry at Age Sixteen - Google Art Project.jpg",Madcap Ellen,1847-1928,"Renowned British actress"
00420,Daniel V. Thompson,"Thompson, Daniel Varney",,,1902-1980,"American art historian and translator of Cennino Cennini's Craftsman's Handbook"
00421,Edward Maunde Thompson,"Thompson, Edward Maunde",Edward Maunde Thompson Poynter.jpg,,1840-1929,"British bibliographer and paleographer and Principal Librarian and first Director of the British Museum"
00422,"Thompson, Elizabeth Smith","Thompson, Elizabeth Smith",,,1855-1941,"Wife of Henry Yates Thompson"
00423,Henry Yates Thompson,"Thompson, Henry Yates",,,1838-1928,"British collector of illuminated manuscripts and newspaper owner"
00424,Oakleigh Thorne,"Thorne, Oakleigh",,,1866-1948,"American financier and president of the Trust Company of America; worked with Morgan during Panic of 1907"
00425,Ada Thurston,"Thurston, Ada",,Thursty,1865-1944,"Longtime librarian at Morgan Library, initially serving as BG's assistant"
00426,Amélie Rives Troubetzkoy,"Troubetzkoy, Amélie Rives",AMÉLIE RIVES CHANLER.jpg,,1863-1945,"American author of best-selling novels around turn of twentieth century"
00427,Paolo Troubetzkoy,"Troubetzkoy, Paul","Il'ja repin, ritratto dello scultore paolo troubetzkoy, 1908, 02.jpg",,1866-1938,"Russian artist and sculptor"
00428,"Truesdale, Annie Topping","Truesdale, Annie Topping",,,1858-1923,"Wife of William H. Truesdale"
00429,William Truesdale,"Truesdale, William",,Mr. Will,1851-1935,"American railroad executive; husband of Annie Topping"
00430,"Untermyer, Minnie Carl","Untermyer, Minnie Carl",,Mrs. Untermyer,1857-1924,"American socialite and wife of Samuel Untermyer"
00431,"Untermyer, Samuel","Untermyer, Samuel",,Sam,1858-1940,"New York lawyer, collector, and philanthropist"
00432,"Updyke, Bertie","Updyke, Bertie",,,,"BG friend in Boston"
00433,Arthur Upson,"Upson, Arthur",,,1877-1908,"American poet"
00434,"Val, Rafael Merry del","Val, Rafael Merry del",,,1865-1930,"Spanish Roman Catholic Cardinal"
00435,"Valentiner, Wilhelm","Valentiner, Wilhelm",,,1880-1958,"German art historian, curator of decorative arts at the Metropolitan Museum of Art and later Director of the Detroit Institute of Arts"
00436,Van Dusen,Van Dusen,,,,"Book collector"
00437,"Van Vechten, Anna Snyder","Van Vechten, Anna Snyder",,,,"First wife (1907-1912) of Carl Van Vechten"
00438,Carl Van Vechten,"Van Vechten, Carl",Self-Portrait of Carl Van Vechten Crisco edit.jpg,,1880-1964,"American photographer and portraitist"
00439,"Vanderbilt, Anne Harriman Sands Rutherford","Vanderbilt, Anne Harriman Sands Rutherford",,,1861-1940,"Second wife of William Kissam Vanderbilt (m. 1930), with Anne Morgan and Elisabeth Marbury, helped found the Colony Club"
00440,Cathleen Neilson,"Vanderbilt, Cathleen Neilson",Mrs. Reg. Vanderbilt LCCN2014686424 (cropped).jpg,,1885-1927,"First wife of Reginald Vanderbilt;"
00441,"Vanderbilt, George Washington","Vanderbilt, George Washington",,,1862-1914,"American art collector and owner of Biltmore Estate in Asheville, North Carolina"
00442,"Vanderbilt, Reginald Claypool","Vanderbilt, Reginald Claypool",,Reggie,1880-1925,"Equestrian and gambler"
00443,"Vanderbilt, William Kissam","Vanderbilt, William Kissam",,,1849-1920,"American businessman and horsebreeder"
00444,"Vandervelde, Lalla Speyer","Vandervelde, Lalla Speyer",,,1870-1965,"Writer and widow of Belgian politican, Emile Vandervelde"
00445,René Viviani,"Viviani, René",René Viviani.jpg,,1863-1925,"French politician and Prime Minister in early World War I"
00446,Elia Volpi,"Volpi, Elia","Palazzo vitelli alla cannoniera, busto di elia volpi.JPG",,1838-1938,"Florentine art dealer and founder of the Palazzo Davanzati Museum"
00447,"Von Wahrlich, Reinhold","Von Wahrlich, Reinhold",,,1877-1939,"Russian opera bass"
00448,Wilfrid Voynich,"Voynich, Wilfrid",Wilfrid Voynich c1920.jpg,,1865-1930,"Polish book dealer"
00449,"Wagstaff, Alfred Jr.","Wagstaff, Alfred Jr.",,,1844-1921,"American lawyer and politician"
00450,Mary Anderson Barnard,"Wagstaff, Mary Barnard",,,1860-1938,"Wife of Alfred Wagstaff Jr."
00451,"Wales, Edward VIII Prince of","Wales, Edward VIII Prince of",,,1894-1972,"King of United Kingdom in 1936; visited New York in November of 1919 (first royal to visit the United States after his grandfather, Edward VI, visited 50 years earlier)"
00452,T. B. Walker,"Walker, Thomas Barlow",Thomas B Walker-1888.png,,1840-1928,"Minnesota businessman and art collector; founder of the Walker Galleries (today the Walker Art Center)"
00453,"Walters, Henry","Walters, Henry",,Harry,1848-1931,"Philanthropist and art collector from Baltimore, founded Walters Art Gallery, inherited father William T. Walters' collection of European and Asian art"
00454,Freda Dudley Ward,"Ward, Freda Dudley",Freda Dudley Ward.jpg,,1894-1983,"English socialite who is best known for being the paramour of Edward VIII, Prince of Wales"
00455,"Watson, Thomas J.","Watson, Thomas J.",,,1874-1956,"American businessman; head of National Cash Register office in Dayton (a position for which he was later convicted for antitrust violation); later CEO of IBM; patron of Metropolitan Museum of Art"
00456,"West, Rebecca","West, Rebecca",,,1892-1983,"British journalist and author"
00457,"Wetzel, Harvey E.","Wetzel, Harvey E.",,,1888-1918,"Art collector with particular interest in Chinese sculpture"
00458,Edith Wharton,"Wharton, Edith",Edith Newbold Jones Wharton.jpg,Mrs. Wharton,1862-1937,"American writer"
00459,"Wheeler, Frank Augustus","Wheeler, Frank Augustus",,,1865-c. 1931,"Rare book dealer at firm of Pearson & Co."
00460,Clarence Hudson White,"White, Clarence H.",Clarence Hudson White by Ulmann.jpg,,1871-1925,"American photographer, part of Photo-Secession movement"
,,,Clarence White Sr by Gertrude Käsebier (cropped).jpg,,,
00461,"Whittemore, Thomas","Whittemore, Thomas",,,1871-1950,"American archaeologist and founder of the Byzantine Institute of America"
00462,"Widener, Eleanor Elkins","Widener, Eleanor Elkins",,Mrs. George Widener; Mrs. W.; Mrs. George,1862-1937,"American socialite who donated the Widener Library to Harvard in memory of her husband (George Dunton) and eldest son (Harry Elkins) who both died on the Titanic"
00463,Harry Elkins Widener,"Widener, Harry Elkins",Harry E. Widener.jpg,,1885-1912,"American businessman and bibliophile who died on the Titanic"
00464,Joseph E. Widener,"Widener, Joseph E.",Joseph E Widener by Augustus John 1921.jpg,,1871-1943,"American art collector and founding benefactor of National Gallery of Art in Washington D.C"
00465,"Widener, Peter","Widener, Peter",,,1834-1915,"American financier and collector of Italian Renaissance art"
00466,"Wierzbicki, Vincent de","Wierzbicki, Vincent de",,,,"BG's French tutor"
00467,"Wildenstein, Georges","Wildenstein, Georges",,,1892-1963,"Son of Georges Wildenstein; joined firm in 1912"
00468,Nathan Wildenstein,"Wildenstein, Nathan",Wildenstein.nathan.und.georges.1908.jpg,,1851-1934,"French art dealer who founded Wildenstein & Co"
00469,"Williamson, George C.","Williamson, George C.",,,1858-1942,"British art historian and antiquarian, cataloguer of J.P. Morgan's collection of portrait miniatures"
00470,Ellen Axson Wilson,"Wilson, Ellen Axson",ELWilson.jpg,,1860-1914,"First wife of Woodrow Wilson"
00471,"Wilson, Woodrow","Wilson, Woodrow",,,1856-1924,"Twenty-eighth President of United States; Princeton University President (1902-1910)"
00472,"Winship, William","Winship, William",,Willie,,"BG friend in Boston"
00473,"Witt, Robert","Witt, Robert",,Sir Robert,1872-1952,"English art collector and founder of the Witt Reference Library, London; husband of Mary Helene Marten Witt"
00474,Arnold Wood,"Wood, Arnold",,,,
00475,Lawrence C. Wroth,"Wroth, Lawrence C.",Lawrence Counselman Wroth (page 55 crop).jpg,,1884-1970,"American historian specializing in early printed Americana"
00476,"Yamanaka, Sadjiro","Yamanaka, Sadjiro",,,1866-1936,"Japanese art dealer originally from Osaka; founder of Yamakana & Company in 1917"
00477,"Zuloaga, Ignacio","Zuloaga, Ignacio",,,1870-1945,"Basque painter who had an exhibition at the Hispanic Society in 1909"
00482,"Myres, Jane Linton","Myres, Jane Linton",,,,"Wife of John Myres"
00483,"Lennox, Lady Blanche Algernon Gordon","Lennox, Lady Blanche Algernon Gordon",,Lady Algy,1864-1945,"Wife of Lord Algernon Charles Gordon-Lennox; daughter of Hon. Charles Henry Maynard"
00484,Ruth St. Denis,"Denis, Ruth Saint",Ruth St Denis in costume 1917.jpg,,1879-1968,"Pioneering modern dancer and Northfield alumna"
,,,Ruth St. Denis 04.jpg,,,
,,,Ruthstdenis1.jpg,,,
00485,"Rogers, Mary Howard","Rogers, Mary Howard",,,,"Boston socialite and wife of Jacob Rogers, Director of State National Bank of Boston"
00486,Franz Kneisel,"Kneisel, Franz",Century Magazine-69-600.jpg,,1865-1926,"Violinist"
00487,Constant-Désiré Despradelle,"Despradelle, Constant-Désiré",Desire Despradelle 1904.jpg,,1862-1912,"French architect and professor at Massachusetts Institute of Technology"
00488,Morton H. Bernath,"Bernath, Morton H.",,,1886-1965,"Assistant curator of Graphic Arts in Leipzig"
00489,Frank L. Pollack,"Pollock, Francis Lillie",,Frank Pollock,1876-1957,"Canadian science fiction author"
00490,"Perkins, Mrs.","Perkins, Mrs.",,,,
00491,"Castellane, Marie Ernest Paul Boniface de","Castellane, Marie Ernest Paul Boniface de",,Boni de Castellane,1867-1932,"French nobleman and politician; husband of American railroad heiress Anna Gould, aunt of Marjorie Gould Drexel"
00492,"Johnson, Owen","Johnson, Owen",,,1878-1952,"American writer; husband of Esther Cobina"
00493,Joseph von Karabacek,"Karabacek, Joseph von",Karabacek.jpg,,1845-1918,"Austrian orientalist and library director"
00494,"Snyder, Carl","Snyder, Carl",,,1869-1946,"American economist and statistician"
00495,"Bédier, Joseph","Bédier, Joseph",,,1864-1938,"French writer, scholar, and historian of Medieval France"
00496,"Lang, Andrew","Lang, Andrew",,,1844-1912,"Scottish poet and novelist; collector of folk and fairy tales"
00497,"Robins, Thomas Ellis","Robins, Thomas Ellis",,,1884–1962,"American-born British journalist and military officer"
00498,Herbert Eustis Winlock,"Winlock, Herbert Eustis",,,1884-1950,"American egyptologist and archaeologist; worked at the Metropolitan Museum of Art (served as Director from 1932-1939)"
00499,Albert Lythgoe,"Lythgoe, Albert Morton",,Lythgow,1868-1934,"American egyptologist and archaeologist; first curator of the Metropolitan Museum of Art (1906-1929)"
00500,Dan Fellows Platt,"Platt, Dan Fellows",,,1873-1937,"Art collector and Mayor of Englewood; husband of Ethel Bliss Platt"
00501,"Platt, Ethel Appleby Bliss","Platt, Ethel Appleby Bliss",,Miss Bliss,1881-1971,"American tennis player and art collector; wife of Dan Platt"
00502,Louisine Havemeyer,"Havemeyer, Louisine Waldron Elder","Havemeyer, Louisine Elder. Suffragette LCCN2016869912.jpg",Mrs Havemeyer,1855-1929,"Wife of Henry Havemeyer; Impressionist art collector and suffragette"
00503,Moses Taylor Pyne,"Pyne, Moses Taylor",Moses Taylor Pyne portrait from 1912.jpg,M. Taylor Pyne,1855-1921,"American financier and philanthropist"
00504,"Manship, Isabel McIlwaine","Manship, Isabel McIlwaine",,,1883-1974,"Wife of Paul Manship"
00505,"Obach, Charles","Obach, Charles",,,1841–1921,"Swiss-born London art dealer"
00506,"Hickox, Annie Stager","Hickox, Annie Stager",,Mrs. Ralph Hickox,1851-1922,"Wife of Ralph Warner Hickox"
00507,Henry Irving,"Brodribb, John Henry","Henry Irving, 1905-10.jpg",Henry Irving,1838-1905,"English stage actor"
,,,,,,
00509,William Holman Hunt,"Hunt, William Holman",William Holman Hunt - Selfportrait.jpg,Holman Hunt,1827-1910,"English playwright"
00510,"Mayer, Gustavus","Mayer, Gustavus",,Mr. Mayer; Gus,1873–1954,
00511,Marguerite Sylva,"Smith, Marguerite Alice Hélène",Marguerita Sylva As Carmen Opera Comique.jpg,Marguerite Sylva; Maggie Smith,1875-1957,"Belgian opera singer and muscial theater performer"
00512,Willard H. Brownson,"Brownson, Willard Herbert",Willard H. Brownson.jpg,Admiral Brownson,1845-1935,"United States Navy officer"
00513,Gerald Stanley Lee,"Lee, Gerald Stanley",Gerald Stanley Lee - 10 April 1922 (cropped).tif,Gerald,1862-1944,"American writer and minister, wrote books on religion, modern culture, and physical fitness"
00514,"Taft, Charles Phelps","Taft, Charles Phelps",,,1843-1929,"Brother of President William Howard Taft; American lawyer and politician"
00515,"Bernhardt, Sarah","Bernhardt, Sarah",,,1844-1923,"French stage actress"
00516,William Francis Sheehan,"Sheehan, William F.",William Francis Sheehan 001.jpg,,1859-1917,"American lawyer and politician"
00517,"James, Henry","James, Henry",,,1843-1916,"American-born British author"
00518,"Allen, James Lane","Allen, James Lane",,,1849-1925,"American novelist"
00519,"Morton, Paul","Morton, Paul",,,1857-1911,"American businessman and politician"
00520,Stern,Stern,,,,"unidentified representative of the Duveen Bros."
00521,"D., Ben","D., Ben",,,,
00522,Mary Lyman Morgan,"Morgan, Mary Lyman",,Mrs. Walter Burns; Mrs. Burns; Mary Burns,1844-1919,"Sister of J. Pierpont Morgan; wife of Walter Hayes Burns"
00523,American-born British art dealer,American-born British art dealer,,,1840-1917,"French sculptor"
00524,Arthur Frothingham,"Frothingham, Arthur",,,,
00525,"Herbert, Victor","Herbert, Victor",,,1859-1924,"American composer"
00526,John Dyneley Prince,"Prince, John Dyneley","Jno. Dyneley Prince, 1-24-23 LCCN2016847184.jpg","""Dyneley Prince""",1868-1945,"American linguist, diplomat, and politician; professor at New York University and Columbia University; minister to Denmark and Yugoslavia; leader of both houses of New Jersey Legislature"
00527,"Doucet, Jacques","Doucet, Jacques",,,1853-1929,"French fashion designer and art collector"
00528,"Laborde, Léon-Joseph-Alexandre de","Laborde, Léon-Joseph-Alexandre de",,Count Delaborde,1853-1944,"French officer, archaeologist, and bibliophile"
00529,"Harcourt-Smith, Alice Edith","Harcourt-Smith, Alice Edith",,,1864–???,"wife of Sir Cecil Harcourt-Smith"
00530,"Cavendish, Evelyn Emily Mary","Cavendish, Evelyn Emily Mary",,,1870-1960,"Duchess of Devonshire; wife of Victor Cavendish, 9th Duke of Devonshire"
00531,"Hastings, Thomas","Hastings, Thomas",,Tom,1860-1929,"American architect and partner in Carrère and Hastings firm"
00532,Jacques de Lesseps,"Lesseps, Jacques Benjamin de(?)",Jacques de Lesseps.PNG,the Aviator,1883-1927,"French aviator; son of French diplomat Ferdinand de Lesseps"
00533,Philip Mesier Lydig,"Lydig, Philip Mesier",,,1867-1929,"United States Army officer, second husband of Rita de Acosta Lydig"
00534,Jean-Philippe Worth,"Worth, Jean-Philippe",Jean Philippe Worth.jpg,,1856-1926,"French fashion designer; son of Charles Frederick Worth"
00535,A. Trotti,"Trotti, René Avogli",,,,"Italian nobleman and art collector and seller"
00536,Isabelle de Ludres,"Ludres, Isabelle de","Portrait de Madame Marie-Elisabeth de Ludres, chanoinesse de Poussay , maîtresse de Louis XIV, représentée en Marie-Madeleine.jpg",Mme. de Ludres; Mme. Ludicrous,,
00537,"Field, Isobel Stewart Osbourne Strong","Field, Isobel Stewart Osbourne Strong",,Belle?,1858-1953,"Author; stepdaughter of Robert Louis Stevenson"
00538,"Pam, Max","Pam, Max",,,,"American lawyer; brother of judge and Zionist leader Hugo Pam"
00539,Elliott Daingerfield,"Daingerfield, Elliott","Portrait of Elliott Daingerfield, 1890.jpg",,1859-1932,"American artist"
00540,"Duveen, Louis","Duveen, Louis",,,1874-1920,"Second son of Joseph Duveen, Sr.; continued Duveen firm with brothers after father's death"
00541,"Lane, John","Lane, John",,,1854-1925,"British publisher; co-founder of The Bodley Head"
00542,Mary Hunter Austin,"Austin, Mary Hunter",Mary Austin c.1900.jpg,Mrs. Austin,1868-1934,"American nature writer; assistant editor of Harper's Weekly"
00543,"Livingston, Goodhue","Livingston, Goodhue",,,1867-1951,"American architect; co-founder of Trowbridge & Livingston"
00544,Paul Vitry,"Vitry, Paul",,,1872-1941,"French art historian"
00545,Melville Elijah Stone,"Stone, Melville Elijah","Melville Elijah Stone by WJ Root, c1890s.jpg",,1848-1929,"American newspaper publisher; founder of the Chicago Daily News; general manager of the Associated Press"
00546,Daniel Berkeley Updike,"Updike, Daniel Berkeley",,Berkeley Updike,1860-1941,"American printer and historian of typography"
00547,John B. Stanchfield,"Stanchfield, John Barry",John Barry Stanchfield.png,,1855-1921,"American lawyer and politician; Mayor of Elmira Heights, NY (1886-188); NY State Representative (1895-1896)"
00548,"Ledyard, Lewis Cass","Ledyard, Lewis Cass",,,1851-1932,"American lawyer; partner of Carter Ledyard & Milburn; JPM's personal counsel; President of the New York City Bar Association"
00549,Ercole Canessa,"Canessa, Ercole",,,,"Art collector"
00550,"McComas, Francis","McComas, Francis",,,1875-1938,"Australian painter"
00551,Emily James Smith Putnam,"Putnam, Emily James Smith",,Mrs. George Haven Putnam,1865-1944,"American classical scholar, author, and educator; wife of George Haven Putnam"
00552,Richard Le Gallienne,"Le Gallienne, Richard","Richard Le Gallienne, by Alfred Ellis.jpg",,1866-1947,"English author and poet"
00553,David Bispham,"Bispham, David",DavidBispham.jpg,,1857-1921,"American singer"
00554,Robert Underwood Johnson,"Johnson, Robert Underwood",Robert Underwood Johnson in 1920.jpg,Robert Underwear; Underwear Johnson,1853-1937,"American writer, poet, and diplomat; US Ambassador to Italy (1920-1921); father of Owen Johnson"
00555,Harold Mestre,"Mestre, Harold",,,1884?-1939,"Dean of Bard College (1938-1939)"
00556,"Roberts, William Carman","Roberts, William Carman",,Mr. Roberts,1874-1941,"Canadian poet; professor of politics at NYU; editor of The Literary Digest; husband of Mary Fanton"
00557,Clifford B. Harmon,"Harmon, Clifford B.",Clifford B. Harmon. Seated in airplane (ggb2004008193).jpg,,1866-1945,"American aviator and estate developer; founding partner of Wood, Harmon & Co."
00558,Elias Cornelius Benedict,"Benedict, Elias Cornelius",Elias Cornelius Benedict.jpg,Commodore Benedict,1834-1920,"American banker and yachtsman; President of the Commercial Acetylene Gas Company and the Marine Engine Company"
00559,Colgate Hoyt,"Hoyt, Colgate",Colgate & Lida Hoyt.jpg,,1849-1922,"American businessman"
00560,"Hoyt, Katharine Sharp","Hoyt, Katharine Sharp",,,,"Wife of Colgate Hoyt"
00561,"Miller, Gerrit Smith","Miller, Gerrit Smith",,,1845-1937,"Grandson of abolitionists, businessman, and philanthropist Gerrit Smith; founder of the Oneida Football Club of Boston; NY State Assembly member (1880)"
00562,"Miller, Susan Hunt Dixwell","Miller, Susan Hunt Dixwell",,,,"Wife of Gerrit Smith Miller"
00563,"Lanier, Mrs.","Lanier, Mrs.",,,,"Sarah Elizabeth Lanier died in 1898. Perhaps this is one of her daughters"
00564,"Smith, George D.","Smith, George D.",,,1870-1920,"New York bookdealer who served as Henry E. Huntington's agent"
00565,"Sanger, Virginia Osborn","Sanger, Virginia Osborn",,Mistress Sanger,1882-1955,"Relief worker during WWI, daughter of Lucretia Thatcher Perry and Henry Fairfield Osborn"
00566,Marie-Joseph Lagrange,"Lagrange, Marie-Joseph",Père Marie-Joseph Lagrange en 1895.jpg,,1855-1938,"French theologian, Catholic priest in the Dominican Order (born Albert Lagrange), and founder of the École Biblique in Jerusalem"
00567,Lucretia Perry Osborn,"Osborn, Lucretia Thatcher Perry",Lucretia Perry Osborn.jpg,Mrs. Fairfield Osborn,1858-1930,"American writer, wife of Henry Fairfield Osborn"
00568,"Goddard, Mrs.","Goddard, Mrs.",,,,"Mrs. Robert Hale Ives Goddard, née Rebekah Burnet Groesbeck?"
00569,Dyer,Dyer,,,,"""a 'near' art critic"" Greene met at Roland Conklin's home at Rosemary Farm in March 1910"
00570,"Harris, Victor","Harris, Victor",,,1869-1943,"American composer and vocal instructor"
00571,"Wellman, Mrs.","Wellman, Mrs.",,,,"In her 3/1/10 letter BG mentions attending ""a musical which Mrs. Wellman (Emma Jack) was giving."" Only vague references to ""Emma Jack"" have been discovered, and her connection to a ""Mrs. Wellman"" is unclear."
00572,Gardiner,Gardiner,,,,"A man from Boston BG met at Roland Conklin's home in March 1910. He ""knew every one I had met there, [and] was madly enamoured of your Mrs. Gardner, in spite of which he condescended to be kind to me for two hours."" Perhaps the American publicist William H. Gardiner (b. 1875), a native Bostonian."
00573,Mariette Mazarin,"Mazarin, Mariette",,,,"French actress, performed in Strauss's Elektra"
00574,"Alexander, Mrs. C.B.","Alexander, Mrs. C.B.",,,,"Unidentified"
00575,"Collins, Lillie Lang","Collins, Lillie Lang",,,,"Unidentified actress"
00576,"Wendell, Barrett","Wendell, Barrett",,,1855-1921,"American academic and Harvard English professor"
00577,"Taylor, Clara Sidney Potter Davidge","Taylor, Clara Sidney Potter Davidge",,Mrs. Davidge,1858-1921,"American interior decorator"
00578,"Potter, Henry Codman","Potter, Henry Codman",,,1834-1908,"American Episcopal Bishop"
00579,François Michel Louis Tonetti,"Tonetti-Dozzi, François Michel Louis",,,1858-1920,"French sculptor"
00580,François Flameng,"Flameng, François",François Flameng.jpg,,1856-1923,"French painter"
00581,Florence Scovel Shinn,"Shinn, Florence Scovel",Photo Florence Scovel Shinn.jpg,,1871-1940,"American artist and writer"
00582,Augustus Saint-Gaudens,"Saint-Gaudens, Augustus",Augustus Saint-Gaudens.jpg,,1848-1907,"American sculptor"
00583,Louise Homer,"Homer, Louise Beatty",Louise Homer loc-crop.jpg,,1871-1947,"American operatic contralto"
00584,"Mason, John","Mason, John",,,1858-1919,"American actor"
00585,Giliberts,Giliberts,,,,"Unidentifed couple"
00586,"Mills, Weymar","Mills, Weymar",,,,"Unidentified"
00587,Wombwell,Wombwell,,,,"Unidentified English polo player"
00588,Goulds,Goulds,,,,"Unidentified members of the Gould family"
